"WYBS_ID","SFZHM","XM","XB_DM","MZ_DM","MZ_MC","CYM","SG","CSRQ","HYZKBM","HYZKMC","BYZKBM","BYZKMC","XXBM","XXMC","ZJXYBM","ZJXYMC","ZZMMBM","ZZMMMC","WHCDBM","WHCDMC","ZWMC","SFBDZDRY","JG","JG_MC","HJDQH","XZDQH","ZDRYXL"
"59D808E56AAC1F2FE05301095D0AC86A","120224197406081414","隗泽斌","1","01","汉族","",180,08-6月 -74,"23","复婚","","","0","不明","00","无宗教信仰","","","61","高中毕业","",0,"120115","","","",""
"59D808E56AAD1F2FE05301095D0AC86A","120224195210139036","贡林顾","1","01","汉族","",173,13-10月-52,"20","已婚","","","2","Ｂ型","00","无宗教信仰","","","81","小学毕业","",0,"120115","","","",""
"59D808E56AAF1F2FE05301095D0AC86A","120224195311170505","晋端芳","1","01","汉族","",170,17-11月-53,"20","已婚","","","","不明","","无","","","61","高中毕业","",0,"120115","","","",""
"59D808E56AB01F2FE05301095D0AC86A","120224195302136125","逯贵柳","1","01","汉族","",170,13-2月 -53,"20","已婚","","","","不明","","无","","","61","高中毕业","",0,"120115","","","",""
"59D808E56AB11F2FE05301095D0AC86A","120224195303170505","贡宝长","1","01","汉族","",170,17-3月 -53,"20","已婚","","","","不明","","无","","","81","小学毕业","",0,"120115","","","",""
"59D808E56AB31F2FE05301095D0AC86A","120224195503130740","张令臣","1","01","汉族","",172,13-3月 -55,"20","已婚","","","","不明","40","天主教","","","61","高中毕业","",0,"120115","","","",""
"59D808E56AB51F2FE05301095D0AC86A","120224195505290505","仲黑贝","1","01","汉族","",170,29-5月 -55,"20","已婚","","","","不明","","无","","","71","初中毕业","",0,"120115","","","",""
"59D808E56AB61F2FE05301095D0AC86A","120224195609051826","逯瑞群","1","01","汉族","",175,05-9月 -56,"20","已婚","","","","不明","","无","","","71","初中毕业","",0,"120115","","","",""
"59D808E56AB81F2FE05301095D0AC86A","120224195611171827","亚会贝","1","01","汉族","",176,17-11月-56,"20","已婚","","","","不明","","无","","","61","高中毕业","",0,"120115","","","",""
"59D808E56ABA1F2FE05301095D0AC86A","120224195505048138","恽爱记","1","01","汉族","",167,04-5月 -55,"30","丧偶","","","","不明","","无","","","61","高中毕业","",0,"120115","","","",""
